,YearStart,YearEnd,LocationAbbr,LocationDesc,StratificationCategory1,Stratification1,StratificationCategoryID1,StratificationID1,LocationID,OverweightValue,ObeseValue,TvValue,SodaValue,VegetableValue,FruitValue,PhysicalActivityValue,PhysicalEducationValue
153,2005,2005,ID,Idaho,Race/Ethnicity,Hispanic,RACE,RACEHIS,16,10.4,15.2,34.0,19.9,48.3,43.7,20.1,12.4
154,2013,2013,AR,Arkansas,Grade,12th,GRADE,GRADE12,5,13.7,12.4,31.5,31.3,40.1,37.1,19.5,49.7
158,2015,2015,RI,Rhode Island,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,44,10.9,6.9,25.1,24.6,33.2,34.1,26.9,20.7
159,2007,2007,IL,Illinois,Grade,11th,GRADE,GRADE11,17,16.2,24.2,22.1,18.5,42.9,56.0,22.6,9.6
168,2001,2001,RI,Rhode Island,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,44,18.0,17.9,26.3,26.3,51.1,50.7,25.6,10.0
175,2003,2003,VI,Virgin Islands,Total,Total,OVR,OVERALL,78,23.8,17.6,17.2,12.7,42.3,55.2,18.6,12.1
176,2001,2001,US,National,Race/Ethnicity,Asian,RACE,RACEASN,59,16.6,10.8,24.4,16.4,40.0,37.9,17.7,25.5
178,2015,2015,SC,South Carolina,Grade,12th,GRADE,GRADE12,45,15.7,9.6,19.6,15.4,33.1,37.2,27.9,22.4
181,2005,2005,SC,South Carolina,Gender,Male,GEN,MALE,45,11.1,14.0,16.2,11.1,43.4,31.5,19.1,9.0
185,2005,2005,US,National,Race/Ethnicity,Hispanic,RACE,RACEHIS,59,15.2,12.2,15.8,15.0,38.7,36.1,31.6,26.6
187,2015,2015,GU,Guam,Grade,12th,GRADE,GRADE12,66,19.0,16.6,24.3,39.7,46.6,46.3,24.0,29.2
191,2005,2005,CO,Colorado,Total,Total,OVR,OVERALL,8,16.6,12.8,26.7,17.4,43.1,40.3,25.7,18.8
194,2007,2007,AR,Arkansas,Gender,Female,GEN,FEMALE,5,13.5,8.8,24.0,17.6,30.6,30.0,27.6,29.4
196,2009,2009,NY,New York,Grade,9th,GRADE,GRADE09,36,14.8,16.1,35.9,28.8,42.2,37.7,26.2,20.5
198,2007,2007,US,National,Grade,9th,GRADE,GRADE09,59,14.9,7.4,22.0,12.9,34.5,41.9,20.7,28.3
203,2005,2005,DE,Delaware,Grade,9th,GRADE,GRADE09,10,10.1,6.5,17.2,10.9,28.7,28.0,20.0,22.3
